time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
46017.511,wf-tool-heavy-0214,agent-tool,INFRA_SUBMIT,,6.25,0.003555,CALL_TOOL,,,,agent-tool-infra-52,6.25,,,,186,,,,0.0,,,,,,,,,,,,
46017.511,wf-tool-heavy-0214,agent-tool,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
46023.761,wf-tool-heavy-0214,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-52,,,,,,,,,,,,,,,,,,,,,
46023.761,wf-tool-heavy-0214,agent-tool,LLM_DISPATCH,53143.42444421198,,0.003555,CALL_TOOL,,,7039.663359397514,,,,40.0,40.0,186,,,,,,,,,,,,,,,,
46112.299,wf-tool-heavy-0242,agent-tool,QUEUE_ENTER,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
46176.643,wf-chat-light-0087,agent-chat,QUEUE_ENTER,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,
46322.649,wf-chat-light-0050,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,186,,,,,,,,,,search-tool,,,,,,
46322.649,wf-chat-light-0050,agent-chat,TOOL_DISPATCH,46559.51037026332,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,156.861766890445,,,,
46559.510,wf-chat-light-0050,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,345,2,,,,,,,,
46559.510,wf-chat-light-0050,agent-chat,INFRA_SUBMIT,,1.0416666666666667,0.0018325000000000001,CALL_TOOL,,,,agent-chat-infra-106,1.0416666666666667,,,,97,,,,0.0,,,,,,,,,,,,
46559.510,wf-chat-light-0050,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
46560.552,wf-chat-light-0050,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-106,,,,,,,,,,,,,,,,,,,,,
46560.552,wf-chat-light-0050,agent-chat,LLM_DISPATCH,48038.39221928174,,0.0018325000000000001,CALL_TOOL,,,1397.8401823517527,,,,40.0,40.0,97,,,,,,,,,,,,,,,,
46696.371,wf-chat-light-0088,agent-chat,QUEUE_ENTER,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,
47025.731,wf-chat-light-0046,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,136,,,,,,,,,,search-tool,,,,,,
47025.731,wf-chat-light-0046,agent-chat,TOOL_DISPATCH,47275.98634427819,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,170.25550207726818,,,,
47171.850,wf-chat-light-0048,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,96,,,,,,,,,,search-tool,,,,,,
47171.850,wf-chat-light-0048,agent-chat,TOOL_DISPATCH,47392.72901785413,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,140.87939646474504,,,,
47223.848,wf-chat-light-0038,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,91,,,,,,,,,,search-tool,,,,,,
47223.848,wf-chat-light-0038,agent-chat,TOOL_DISPATCH,47546.33185579182,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,242.4841518609676,,,,
47275.986,wf-chat-light-0046,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,655,3,,,,,,,,
47275.986,wf-chat-light-0046,agent-chat,INFRA_SUBMIT,,6.25,0.0023775000000000003,CALL_TOOL,,,,agent-chat-infra-107,6.25,,,,74,,,,0.0,,,,,,,,,,,,
47275.986,wf-chat-light-0046,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
47282.236,wf-chat-light-0046,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-107,,,,,,,,,,,,,,,,,,,,,
47282.236,wf-chat-light-0046,agent-chat,LLM_DISPATCH,50286.544054446524,,0.0023775000000000003,CALL_TOOL,,,2924.307710168333,,,,40.0,40.0,74,,,,,,,,,,,,,,,,
47392.729,wf-chat-light-0048,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,651,3,,,,,,,,
47392.729,wf-chat-light-0048,agent-chat,INFRA_SUBMIT,,1.0416666666666667,0.0038075,CALL_TOOL,,,,agent-chat-infra-108,1.0416666666666667,,,,218,,,,0.0,,,,,,,,,,,,
47392.729,wf-chat-light-0048,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
47393.771,wf-chat-light-0048,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-108,,,,,,,,,,,,,,,,,,,,,
47393.771,wf-chat-light-0048,agent-chat,LLM_DISPATCH,52247.789198930215,,0.0038075,CALL_TOOL,,,4774.018514409422,,,,40.0,40.0,218,,,,,,,,,,,,,,,,
47546.332,wf-chat-light-0038,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,928,4,,,,,,,,
47546.332,wf-chat-light-0038,agent-chat,INFRA_SUBMIT,,6.25,0.00316,CALL_TOOL,,,,agent-chat-infra-109,6.25,,,,84,,,,0.0,,,,,,,,,,,,
47546.332,wf-chat-light-0038,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
47552.582,wf-chat-light-0038,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-109,,,,,,,,,,,,,,,,,,,,,
47552.582,wf-chat-light-0038,agent-chat,LLM_DISPATCH,50834.059377850484,,0.00316,CALL_TOOL,,,3201.477522058664,,,,40.0,40.0,84,,,,,,,,,,,,,,,,
47612.946,wf-chat-light-0089,agent-chat,QUEUE_ENTER,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,
47698.636,wf-chat-light-0041,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,145,,,,,,,,,,search-tool,,,,,,
47698.636,wf-chat-light-0041,agent-chat,TOOL_DISPATCH,48015.09325067808,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,236.45747698612334,,,,
47700.755,wf-chat-light-0090,agent-chat,QUEUE_ENTER,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,
48015.093,wf-chat-light-0041,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,968,4,,,,,,,,
48015.093,wf-chat-light-0041,agent-chat,INFRA_SUBMIT,,1.0416666666666667,0.0034100000000000003,GENERATE_TEXT,,,,agent-chat-infra-110,1.0416666666666667,,,,99,,,,0.0,,,,,,,,,,,,
48015.093,wf-chat-light-0041,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
48016.135,wf-chat-light-0041,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-110,,,,,,,,,,,,,,,,,,,,,
48016.135,wf-chat-light-0041,agent-chat,LLM_DISPATCH,50797.14357229407,,0.0034100000000000003,GENERATE_TEXT,,,2701.008654949326,,,,40.0,40.0,99,,,,,,,,,,,,,,,,
48038.392,wf-chat-light-0050,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,97,,,,,,,,,,search-tool,,,,,,
48038.392,wf-chat-light-0050,agent-chat,TOOL_DISPATCH,48336.94225048727,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,218.55003120552936,,,,
48336.942,wf-chat-light-0050,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,645,3,,,,,,,,
48336.942,wf-chat-light-0050,agent-chat,INFRA_SUBMIT,,6.25,0.0032525,GENERATE_TEXT,,,,agent-chat-infra-111,6.25,,,,164,,,,0.0,,,,,,,,,,,,
48336.942,wf-chat-light-0050,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
48343.192,wf-chat-light-0050,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-111,,,,,,,,,,,,,,,,,,,,,
48343.192,wf-chat-light-0050,agent-chat,LLM_DISPATCH,52863.89720871228,,0.0032525,GENERATE_TEXT,,,4440.704958225011,,,,40.0,40.0,164,,,,,,,,,,,,,,,,
48913.656,wf-tool-heavy-0212,agent-tool,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,216,,,,,,,,,,,,,,,,
48913.656,wf-tool-heavy-0219,agent-tool,QUEUE_EXIT,,,,,,,,,,,,,,,23,,,,,,,,,,,,,22253.43077051862,
48913.656,wf-tool-heavy-0219,agent-tool,AGENT_RECEIVE,,,,,,,,,,259,,,,,,,,,,259,1,,,,,,,,
48913.656,wf-tool-heavy-0219,agent-tool,INFRA_SUBMIT,,1.0416666666666667,0.0018175,CALL_TOOL,,,,agent-tool-infra-53,1.0416666666666667,,,,117,,,,0.0,,,,,,,,,,,,
48913.656,wf-tool-heavy-0212,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,3,,,,0.009575,25832.38314177189,,tool-heavy
48914.698,wf-tool-heavy-0219,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-53,,,,,,,,,,,,,,,,,,,,,
48914.698,wf-tool-heavy-0219,agent-tool,LLM_DISPATCH,52430.43713589123,,0.0018175,CALL_TOOL,,,3435.739623708425,,,,40.0,40.0,117,,,,,,,,,,,,,,,,
49090.876,wf-tool-heavy-0243,agent-tool,QUEUE_ENTER,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,
49155.486,wf-chat-light-0043,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,139,,,,,,,,,,search-tool,,,,,,
49155.486,wf-chat-light-0043,agent-chat,TOOL_DISPATCH,49354.52834476702,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,119.04249216746614,,,,
49285.153,wf-chat-light-0044,agent-chat,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,212,,,,,,,,,,,,,,,,
49285.153,wf-chat-light-0051,agent-chat,QUEUE_EXIT,,,,,,,,,,,,,,,39,,,,,,,,,,,,,22915.1910305756,
49285.153,wf-chat-light-0051,agent-chat,AGENT_RECEIVE,,,,,,,,,,52,,,,,,,,,,52,1,,,,,,,,
49285.153,wf-chat-light-0051,agent-chat,INFRA_SUBMIT,,1.0416666666666667,0.0020900000000000003,GENERATE_TEXT,,,,agent-chat-infra-112,1.0416666666666667,,,,196,,,,0.0,,,,,,,,,,,,
49285.153,wf-chat-light-0044,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,2,,,,0.004645000000000001,26834.95575924843,,chat-light
49286.195,wf-chat-light-0051,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-112,,,,,,,,,,,,,,,,,,,,,
49286.195,wf-chat-light-0051,agent-chat,LLM_DISPATCH,56909.20968185752,,0.0020900000000000003,GENERATE_TEXT,,,7543.01490910215,,,,40.0,40.0,196,,,,,,,,,,,,,,,,
49354.528,wf-chat-light-0043,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,635,3,,,,,,,,
49354.528,wf-chat-light-0043,agent-chat,INFRA_SUBMIT,,6.25,0.0033075000000000005,CALL_TOOL,,,,agent-chat-infra-113,6.25,,,,172,,,,0.0,,,,,,,,,,,,
49354.528,wf-chat-light-0043,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
49360.778,wf-chat-light-0043,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-113,,,,,,,,,,,,,,,,,,,,,
49360.778,wf-chat-light-0043,agent-chat,LLM_DISPATCH,52524.76358019548,,0.0033075000000000005,CALL_TOOL,,,3083.985235428461,,,,40.0,40.0,172,,,,,,,,,,,,,,,,
49385.470,wf-tool-heavy-0209,agent-tool,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,175,,,,,,,,,,search-tool,,,,,,
49385.470,wf-tool-heavy-0209,agent-tool,TOOL_DISPATCH,49678.22464774003,,,,,false,,,,,40.0,40.0,,,,,,,,,,,,search-tool,212.75453878034526,,,,
49678.225,wf-tool-heavy-0209,agent-tool,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,1321,5,,,,,,,,
49678.225,wf-tool-heavy-0209,agent-tool,INFRA_SUBMIT,,6.25,0.0037525,GENERATE_TEXT,,,,agent-tool-infra-54,6.25,,,,45,,,,0.0,,,,,,,,,,,,
49678.225,wf-tool-heavy-0209,agent-tool,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
49684.475,wf-tool-heavy-0209,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-54,,,,,,,,,,,,,,,,,,,,,
