time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
0.000,wf-chat-light-0001,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,73,,,,,,,,,,,,,,,chat-light
0.000,wf-tool-heavy-0192,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,248,,,,,,,,,,,,,,,tool-heavy
184.605,wf-chat-light-0002,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,68,,,,,,,,,,,,,,,chat-light
346.832,wf-chat-light-0003,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,56,,,,,,,,,,,,,,,chat-light
576.885,wf-chat-light-0004,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,64,,,,,,,,,,,,,,,chat-light
738.193,wf-chat-light-0005,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,46,,,,,,,,,,,,,,,chat-light
1520.201,wf-tool-heavy-0193,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,170,,,,,,,,,,,,,,,tool-heavy
1531.196,wf-tool-heavy-0194,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,215,,,,,,,,,,,,,,,tool-heavy
1996.873,wf-chat-light-0006,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,80,,,,,,,,,,,,,,,chat-light
2283.659,wf-chat-light-0007,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
2381.289,wf-chat-light-0008,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,37,,,,,,,,,,,,,,,chat-light
2624.587,wf-tool-heavy-0195,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,205,,,,,,,,,,,,,,,tool-heavy
2832.421,wf-chat-light-0009,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
2926.924,wf-chat-light-0010,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,61,,,,,,,,,,,,,,,chat-light
3120.452,wf-tool-heavy-0196,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,269,,,,,,,,,,,,,,,tool-heavy
3125.993,wf-tool-heavy-0197,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,244,,,,,,,,,,,,,,,tool-heavy
3369.595,wf-chat-light-0011,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,81,,,,,,,,,,,,,,,chat-light
3803.375,wf-chat-light-0012,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,59,,,,,,,,,,,,,,,chat-light
4252.544,wf-tool-heavy-0198,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,92,,,,,,,,,,,,,,,tool-heavy
4501.568,wf-chat-light-0013,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,44,,,,,,,,,,,,,,,chat-light
5352.884,wf-chat-light-0014,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,48,,,,,,,,,,,,,,,chat-light
5623.258,wf-chat-light-0015,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,47,,,,,,,,,,,,,,,chat-light
5910.043,wf-tool-heavy-0199,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,198,,,,,,,,,,,,,,,tool-heavy
7119.728,wf-chat-light-0016,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,13,,,,,,,,,,,,,,,chat-light
7505.989,wf-tool-heavy-0200,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,296,,,,,,,,,,,,,,,tool-heavy
7978.495,wf-chat-light-0017,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
8189.998,wf-tool-heavy-0201,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,139,,,,,,,,,,,,,,,tool-heavy
8201.838,wf-chat-light-0018,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,23,,,,,,,,,,,,,,,chat-light
