time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
0.000,wf-chat-light-0001,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,73,,,,,,,,,,,,,,,chat-light
0.000,wf-tool-heavy-0297,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,205,,,,,,,,,,,,,,,tool-heavy
123.070,wf-chat-light-0002,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,68,,,,,,,,,,,,,,,chat-light
190.281,wf-tool-heavy-0298,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,118,,,,,,,,,,,,,,,tool-heavy
231.221,wf-chat-light-0003,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,56,,,,,,,,,,,,,,,chat-light
318.760,wf-tool-heavy-0299,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,185,,,,,,,,,,,,,,,tool-heavy
384.590,wf-chat-light-0004,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,64,,,,,,,,,,,,,,,chat-light
492.129,wf-chat-light-0005,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,46,,,,,,,,,,,,,,,chat-light
1331.249,wf-chat-light-0006,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,80,,,,,,,,,,,,,,,chat-light
1522.440,wf-chat-light-0007,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
1587.526,wf-chat-light-0008,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,37,,,,,,,,,,,,,,,chat-light
1888.281,wf-chat-light-0009,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,40,,,,,,,,,,,,,,,chat-light
1951.282,wf-chat-light-0010,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,61,,,,,,,,,,,,,,,chat-light
2208.267,wf-tool-heavy-0300,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,163,,,,,,,,,,,,,,,tool-heavy
2246.397,wf-chat-light-0011,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,81,,,,,,,,,,,,,,,chat-light
2535.583,wf-chat-light-0012,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,59,,,,,,,,,,,,,,,chat-light
2625.796,wf-tool-heavy-0301,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,133,,,,,,,,,,,,,,,tool-heavy
3001.045,wf-chat-light-0013,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,44,,,,,,,,,,,,,,,chat-light
3568.590,wf-chat-light-0014,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,48,,,,,,,,,,,,,,,chat-light
3571.022,wf-tool-heavy-0302,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,121,,,,,,,,,,,,,,,tool-heavy
3748.839,wf-chat-light-0015,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,47,,,,,,,,,,,,,,,chat-light
3823.437,wf-tool-heavy-0303,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,201,,,,,,,,,,,,,,,tool-heavy
4218.258,wf-tool-heavy-0304,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,171,,,,,,,,,,,,,,,tool-heavy
4407.970,wf-tool-heavy-0305,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,141,,,,,,,,,,,,,,,tool-heavy
4746.485,wf-chat-light-0016,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,13,,,,,,,,,,,,,,,chat-light
4914.547,wf-tool-heavy-0306,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,292,,,,,,,,,,,,,,,tool-heavy
4991.359,wf-tool-heavy-0307,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,291,,,,,,,,,,,,,,,tool-heavy
5318.997,wf-chat-light-0017,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,78,,,,,,,,,,,,,,,chat-light
5467.892,wf-chat-light-0018,ORCHESTRATOR,SUBMIT,,,,,agent-chat,,,,,,,,,23,,,,,,,,,,,,,,,chat-light
5482.533,wf-tool-heavy-0308,ORCHESTRATOR,SUBMIT,,,,,agent-tool,,,,,,,,,133,,,,,,,,,,,,,,,tool-heavy
