time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
145902.737,wf-chat-light-0149,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0034400000000000003,GENERATE_TEXT,,,,agent-chat-infra-347,20.833333333333332,,,,181,,,,0.0,,,,,,,,,,,,
145902.737,wf-chat-light-0149,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
145917.232,wf-tool-heavy-0376,agent-tool,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,95,,,,,,,,,,,,,,,,
145917.232,wf-tool-heavy-0383,agent-tool,QUEUE_EXIT,,,,,,,,,,,,,,,112,,,,,,,,,,,,,100340.22417202903,
145917.232,wf-tool-heavy-0383,agent-tool,AGENT_RECEIVE,,,,,,,,,,339,,,,,,,,,,339,1,,,,,,,,
145917.232,wf-tool-heavy-0383,agent-tool,INFRA_SUBMIT,,41.666666666666664,0.0030075,CALL_TOOL,,,,agent-tool-infra-176,41.666666666666664,,,,216,,,,0.0,,,,,,,,,,,,
145917.232,wf-tool-heavy-0376,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,6,,,,0.021155,105925.04742052387,,tool-heavy
145923.570,wf-chat-light-0149,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-347,,,,,,,,,,,,,,,,,,,,,
145923.570,wf-chat-light-0149,agent-chat,LLM_DISPATCH,149007.66347546206,,0.0034400000000000003,GENERATE_TEXT,,,3084.0933485224996,,,,0.0,0.0,181,,,,,,,,,,,,,,,,
145958.899,wf-tool-heavy-0383,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-176,,,,,,,,,,,,,,,,,,,,,
145958.899,wf-tool-heavy-0383,agent-tool,LLM_DISPATCH,151506.85961062345,,0.0030075,CALL_TOOL,,,5547.960844305039,,,,0.0,0.0,216,,,,,,,,,,,,,,,,
146334.692,wf-chat-light-0148,agent-chat,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,93,,,,,,,,,,,,,,,,
146334.692,wf-chat-light-0157,agent-chat,QUEUE_EXIT,,,,,,,,,,,,,,,139,,,,,,,,,,,,,90334.45909372906,
146334.692,wf-chat-light-0157,agent-chat,AGENT_RECEIVE,,,,,,,,,,24,,,,,,,,,,24,1,,,,,,,,
146334.692,wf-chat-light-0157,agent-chat,INFRA_SUBMIT,,20.833333333333332,8.500000000000001E-4,CALL_TOOL,,,,agent-chat-infra-348,20.833333333333332,,,,79,,,,0.0,,,,,,,,,,,,
146334.692,wf-chat-light-0148,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,3,,,,0.005102500000000001,92404.98781031535,,chat-light
146355.525,wf-chat-light-0157,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-348,,,,,,,,,,,,,,,,,,,,,
146355.525,wf-chat-light-0157,agent-chat,LLM_DISPATCH,148338.67878137084,,8.500000000000001E-4,CALL_TOOL,,,1983.1539009013509,,,,0.0,0.0,79,,,,,,,,,,,,,,,,
146564.449,wf-chat-light-0152,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,132,,,,,,,,,,search-tool,,,,,,
146564.449,wf-chat-light-0152,agent-chat,TOOL_DISPATCH,146737.74360659294,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,173.29442631576578,,,,
146691.294,wf-chat-light-0151,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,79,,,,,,,,,,search-tool,,,,,,
146691.294,wf-chat-light-0151,agent-chat,TOOL_DISPATCH,146847.36669814397,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,156.0725599674893,,,,
146737.744,wf-chat-light-0152,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,333,2,,,,,,,,
146737.744,wf-chat-light-0152,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0022925000000000003,GENERATE_TEXT,,,,agent-chat-infra-349,20.833333333333332,,,,146,,,,0.0,,,,,,,,,,,,
146737.744,wf-chat-light-0152,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
146758.577,wf-chat-light-0152,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-349,,,,,,,,,,,,,,,,,,,,,
146758.577,wf-chat-light-0152,agent-chat,LLM_DISPATCH,150489.2848145937,,0.0022925000000000003,GENERATE_TEXT,,,3730.707874667414,,,,0.0,0.0,146,,,,,,,,,,,,,,,,
146806.032,wf-chat-light-0143,agent-chat,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,217,,,,,,,,,,,,,,,,
146806.032,wf-chat-light-0158,agent-chat,QUEUE_EXIT,,,,,,,,,,,,,,,138,,,,,,,,,,,,,90481.0322549179,
146806.032,wf-chat-light-0158,agent-chat,AGENT_RECEIVE,,,,,,,,,,58,,,,,,,,,,58,1,,,,,,,,
146806.032,wf-chat-light-0158,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0017050000000000001,CALL_TOOL,,,,agent-chat-infra-350,20.833333333333332,,,,156,,,,0.0,,,,,,,,,,,,
146806.032,wf-chat-light-0143,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,3,,,,0.0067375,95507.38232290905,,chat-light
146826.865,wf-chat-light-0158,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-350,,,,,,,,,,,,,,,,,,,,,
146826.865,wf-chat-light-0158,agent-chat,LLM_DISPATCH,151383.12588420536,,0.0017050000000000001,CALL_TOOL,,,4556.260468055284,,,,0.0,0.0,156,,,,,,,,,,,,,,,,
146847.367,wf-chat-light-0151,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,641,3,,,,,,,,
146847.367,wf-chat-light-0151,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0024125,CALL_TOOL,,,,agent-chat-infra-351,20.833333333333332,,,,81,,,,0.0,,,,,,,,,,,,
146847.367,wf-chat-light-0151,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
146865.401,wf-chat-light-0150,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,132,,,,,,,,,,search-tool,,,,,,
146865.401,wf-chat-light-0150,agent-chat,TOOL_DISPATCH,147050.07705330508,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,184.676076350004,,,,
146868.200,wf-chat-light-0151,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-351,,,,,,,,,,,,,,,,,,,,,
146868.200,wf-chat-light-0151,agent-chat,LLM_DISPATCH,149178.92394016567,,0.0024125,CALL_TOOL,,,2310.7239086883606,,,,0.0,0.0,81,,,,,,,,,,,,,,,,
147050.077,wf-chat-light-0150,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,669,3,,,,,,,,
147050.077,wf-chat-light-0150,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0028425000000000004,CALL_TOOL,,,,agent-chat-infra-352,20.833333333333332,,,,117,,,,0.0,,,,,,,,,,,,
147050.077,wf-chat-light-0150,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
147070.910,wf-chat-light-0150,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-352,,,,,,,,,,,,,,,,,,,,,
147070.910,wf-chat-light-0150,agent-chat,LLM_DISPATCH,152241.37440651437,,0.0028425000000000004,CALL_TOOL,,,5170.46401987595,,,,0.0,0.0,117,,,,,,,,,,,,,,,,
147279.143,wf-chat-light-0154,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,130,,,,,,,,,,search-tool,,,,,,
147279.143,wf-chat-light-0154,agent-chat,TOOL_DISPATCH,147422.09823503633,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,142.9556892028071,,,,
147279.695,wf-tool-heavy-0375,agent-tool,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,138,,,,,,,,,,search-tool,,,,,,
147279.695,wf-tool-heavy-0375,agent-tool,TOOL_DISPATCH,147524.88434559517,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,245.18919980481766,,,,
147408.195,wf-tool-heavy-0373,agent-tool,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,175,,,,,,,,,,search-tool,,,,,,
147408.195,wf-tool-heavy-0373,agent-tool,TOOL_DISPATCH,147768.5035039971,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,360.3087923883163,,,,
147422.098,wf-chat-light-0154,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,364,2,,,,,,,,
147422.098,wf-chat-light-0154,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0024700000000000004,GENERATE_TEXT,,,,agent-chat-infra-353,20.833333333333332,,,,156,,,,0.0,,,,,,,,,,,,
147422.098,wf-chat-light-0154,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
147442.932,wf-chat-light-0154,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-353,,,,,,,,,,,,,,,,,,,,,
147442.932,wf-chat-light-0154,agent-chat,LLM_DISPATCH,152303.84728176013,,0.0024700000000000004,GENERATE_TEXT,,,4860.915713390459,,,,0.0,0.0,156,,,,,,,,,,,,,,,,
147524.884,wf-tool-heavy-0375,agent-tool,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,1359,5,,,,,,,,
147524.884,wf-tool-heavy-0375,agent-tool,INFRA_SUBMIT,,20.833333333333332,0.0051675,CALL_TOOL,,,,agent-tool-infra-177,20.833333333333332,,,,177,,,,0.0,,,,,,,,,,,,
147524.884,wf-tool-heavy-0375,agent-tool,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
147545.718,wf-tool-heavy-0375,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-177,,,,,,,,,,,,,,,,,,,,,
147545.718,wf-tool-heavy-0375,agent-tool,LLM_DISPATCH,153393.01038217839,,0.0051675,CALL_TOOL,,,5847.292703249868,,,,0.0,0.0,177,,,,,,,,,,,,,,,,
147768.504,wf-tool-heavy-0373,agent-tool,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,1699,6,,,,,,,,
147768.504,wf-tool-heavy-0373,agent-tool,INFRA_SUBMIT,,20.833333333333332,0.005667500000000001,CALL_TOOL,,,,agent-tool-infra-178,20.833333333333332,,,,142,,,,0.0,,,,,,,,,,,,
147768.504,wf-tool-heavy-0373,agent-tool,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
147789.337,wf-tool-heavy-0373,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-178,,,,,,,,,,,,,,,,,,,,,
147789.337,wf-tool-heavy-0373,agent-tool,LLM_DISPATCH,151806.92254476526,,0.005667500000000001,CALL_TOOL,,,4017.5857074347996,,,,0.0,0.0,142,,,,,,,,,,,,,,,,
148338.679,wf-chat-light-0157,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,79,,,,,,,,,,search-tool,,,,,,
148338.679,wf-chat-light-0157,agent-chat,TOOL_DISPATCH,148543.32264619647,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,204.64386482563395,,,,
148543.323,wf-chat-light-0157,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,324,2,,,,,,,,
148543.323,wf-chat-light-0157,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0022500000000000003,GENERATE_TEXT,,,,agent-chat-infra-354,20.833333333333332,,,,144,,,,0.0,,,,,,,,,,,,
148543.323,wf-chat-light-0157,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
148564.156,wf-chat-light-0157,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-354,,,,,,,,,,,,,,,,,,,,,
148564.156,wf-chat-light-0157,agent-chat,LLM_DISPATCH,151859.72555685585,,0.0022500000000000003,GENERATE_TEXT,,,3295.5695773260272,,,,0.0,0.0,144,,,,,,,,,,,,,,,,
149007.663,wf-chat-light-0149,agent-chat,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,181,,,,,,,,,,,,,,,,
149007.663,wf-chat-light-0159,agent-chat,QUEUE_EXIT,,,,,,,,,,,,,,,137,,,,,,,,,,,,,91979.19932590115,
149007.663,wf-chat-light-0159,agent-chat,AGENT_RECEIVE,,,,,,,,,,51,,,,,,,,,,51,1,,,,,,,,
149007.663,wf-chat-light-0159,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0017375000000000001,GENERATE_TEXT,,,,agent-chat-infra-355,20.833333333333332,,,,161,,,,0.0,,,,,,,,,,,,
149007.663,wf-chat-light-0149,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,3,,,,0.00661,94973.7199267009,,chat-light
149028.497,wf-chat-light-0159,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-355,,,,,,,,,,,,,,,,,,,,,
149028.497,wf-chat-light-0159,agent-chat,LLM_DISPATCH,153678.85532809625,,0.0017375000000000001,GENERATE_TEXT,,,4650.358519300853,,,,0.0,0.0,161,,,,,,,,,,,,,,,,
149178.924,wf-chat-light-0151,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,81,,,,,,,,,,search-tool,,,,,,
149178.924,wf-chat-light-0151,agent-chat,TOOL_DISPATCH,149393.10744516985,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,214.1835050041885,,,,
149393.107,wf-chat-light-0151,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,941,4,,,,,,,,
149393.107,wf-chat-light-0151,agent-chat,INFRA_SUBMIT,,20.833333333333332,0.0036825,CALL_TOOL,,,,agent-chat-infra-356,20.833333333333332,,,,133,,,,0.0,,,,,,,,,,,,
149393.107,wf-chat-light-0151,agent-chat,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
149407.061,wf-tool-heavy-0381,agent-tool,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,164,,,,,,,,,,search-tool,,,,,,
149407.061,wf-tool-heavy-0381,agent-tool,TOOL_DISPATCH,149577.90635460475,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,170.84504798655493,,,,
149413.941,wf-chat-light-0151,agent-chat,INFRA_COMPLETE,,,,,,,,agent-chat-infra-356,,,,,,,,,,,,,,,,,,,,,
149413.941,wf-chat-light-0151,agent-chat,LLM_DISPATCH,152040.05708737046,,0.0036825,CALL_TOOL,,,2626.1163088672556,,,,0.0,0.0,133,,,,,,,,,,,,,,,,
149420.543,wf-chat-light-0153,agent-chat,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,184,,,,,,,,,,search-tool,,,,,,
149420.543,wf-chat-light-0153,agent-chat,TOOL_DISPATCH,149613.09433191843,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,192.55091799129667,,,,
149463.379,wf-tool-heavy-0382,agent-tool,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,179,,,,,,,,,,search-tool,,,,,,
149463.379,wf-tool-heavy-0382,agent-tool,TOOL_DISPATCH,149608.54734309218,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,145.16855891490826,,,,
149577.906,wf-tool-heavy-0381,agent-tool,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,1029,4,,,,,,,,
149577.906,wf-tool-heavy-0381,agent-tool,INFRA_SUBMIT,,20.833333333333332,0.0039825,GENERATE_TEXT,,,,agent-tool-infra-179,20.833333333333332,,,,141,,,,0.0,,,,,,,,,,,,
149577.906,wf-tool-heavy-0381,agent-tool,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
149598.740,wf-tool-heavy-0381,agent-tool,INFRA_COMPLETE,,,,,,,,agent-tool-infra-179,,,,,,,,,,,,,,,,,,,,,
149598.740,wf-tool-heavy-0381,agent-tool,LLM_DISPATCH,152227.01795578923,,0.0039825,GENERATE_TEXT,,,2628.2782678511185,,,,0.0,0.0,141,,,,,,,,,,,,,,,,
149608.547,wf-tool-heavy-0382,agent-tool,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,488,2,,,,,,,,
149608.547,wf-tool-heavy-0382,agent-tool,INFRA_SUBMIT,,20.833333333333332,0.0032800000000000004,GENERATE_TEXT,,,,agent-tool-infra-180,20.833333333333332,,,,206,,,,0.0,,,,,,,,,,,,
149608.547,wf-tool-heavy-0382,agent-tool,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
149613.094,wf-chat-light-0153,agent-chat,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,386,2,,,,,,,,
149613.094,wf-chat-light-0153,agent-chat,INFRA_SUBMIT,,41.666666666666664,0.0014550000000000001,CALL_TOOL,,,,agent-chat-infra-357,41.666666666666664,,,,49,,,,0.0,,,,,,,,,,,,
