time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,waited_ms,workload
96718.198,wf-chat-light-0172,agent-shared,TOOL_DISPATCH,96917.8396797856,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,199.64126673848395,,,,
96756.549,wf-tool-heavy-0311,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,55,,,,,,,,,,,,,,,,
96756.549,wf-chat-light-0186,agent-shared,QUEUE_EXIT,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1446.656253119043,
96756.549,wf-chat-light-0186,agent-shared,AGENT_RECEIVE,,,,,,,,,,74,,,,,,,,,,74,1,,,,,,,,
96756.549,wf-chat-light-0186,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.002595,GENERATE_TEXT,,,,agent-shared-infra-682,1.0416666666666667,,,,241,,,,0.0,,,,,,,,,,,,
96756.549,wf-tool-heavy-0311,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,2,,,,0.0037800000000000004,6600.602623873128,,tool-heavy
96757.590,wf-chat-light-0186,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-682,,,,,,,,,,,,,,,,,,,,,
96757.590,wf-chat-light-0186,agent-shared,LLM_DISPATCH,103636.58213216548,,0.002595,GENERATE_TEXT,,,6878.991781367605,,,,0.0,0.0,241,,,,,,,,,,,,,,,,
96846.709,wf-tool-heavy-0313,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,490,2,,,,,,,,
96846.709,wf-tool-heavy-0313,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0033150000000000002,GENERATE_TEXT,,,,agent-shared-infra-683,1.0416666666666667,,,,209,,,,0.0,,,,,,,,,,,,
96846.709,wf-tool-heavy-0313,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
96847.750,wf-tool-heavy-0313,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-683,,,,,,,,,,,,,,,,,,,,,
96847.750,wf-tool-heavy-0313,agent-shared,LLM_DISPATCH,99463.21724721341,,0.0033150000000000002,GENERATE_TEXT,,,2615.466931808323,,,,0.0,0.0,209,,,,,,,,,,,,,,,,
96854.499,wf-chat-light-0167,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,634,3,,,,,,,,
96854.499,wf-chat-light-0167,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.002605,CALL_TOOL,,,,agent-shared-infra-684,1.0416666666666667,,,,102,,,,0.0,,,,,,,,,,,,
96854.499,wf-chat-light-0167,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
96855.540,wf-chat-light-0167,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-684,,,,,,,,,,,,,,,,,,,,,
96855.540,wf-chat-light-0167,agent-shared,LLM_DISPATCH,100074.16299181661,,0.002605,CALL_TOOL,,,3218.622597014962,,,,0.0,0.0,102,,,,,,,,,,,,,,,,
96880.839,wf-chat-light-0188,agent-shared,QUEUE_ENTER,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,
96917.840,wf-chat-light-0172,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,,,358,2,,,,,,,,
96917.840,wf-chat-light-0172,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.001915,CALL_TOOL,,,,agent-shared-infra-685,1.0416666666666667,,,,102,,,,0.0,,,,,,,,,,,,
96917.840,wf-chat-light-0172,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,
96918.881,wf-chat-light-0172,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-685,,,,,,,,,,,,,,,,,,,,,
96918.881,wf-chat-light-0172,agent-shared,LLM_DISPATCH,99009.31094006177,,0.001915,CALL_TOOL,,,2090.4295936095054,,,,0.0,0.0,102,,,,,,,,,,,,,,,,
97021.279,wf-tool-heavy-0316,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,47,,,,,,,,,,search-tool,,,,,,
97021.279,wf-tool-heavy-0316,agent-shared,TOOL_DISPATCH,97233.87418636776,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,212.59492699492523,,,,
97134.941,wf-chat-light-0169,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,101,,,,,,,,,,search-tool,,,,,,
97134.941,wf-chat-light-0169,agent-shared,TOOL_DISPATCH,97353.54681826461,,,,,false,,,,,0.0,0.0,,,,,,,,,,,,search-tool,218.60578113822672,,,,
97172.055,wf-tool-heavy-0308,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,59,,,,,,,,,,,,,,,,
97172.055,wf-chat-light-0187,agent-shared,QUEUE_EXIT,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1723.7098213922145,
97172.055,wf-chat-light-0187,agent-shared,AGENT_RECEIVE,,,,,,,,,,56,,,,,,,,,,56,1,,,,,,,,
97172.055,wf-chat-light-0187,agent-shared,INFRA_SUBMIT,,1.0416666666666667,7.000000000000001E-4,CALL_TOOL,,,,agent-shared-infra-686,1.0416666666666667,,,,56,,,,0.0,,,,,,,,,,,,
97172.055,wf-tool-heavy-0308,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,,SUCCESS,,,,3,,,,0.0071175000000000006,12206.536079642145,,tool-heavy
97173.097,wf-chat-light-0187,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-686,,,,,,,,,,,,,,,,,,,,,
97173.097,wf-chat-light-0187,agent-shared,LLM_DISPATCH,100403.34069321267,,7.000000000000001E-4,CALL_TOOL,,,3230.243873837535,,,,0.0,0.0,56,,,,,,,,,,,,,,,,
97216.932,wf-chat-light-0174,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,147,,,,,,,,,,search-tool,,,,,,
