time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,session_tokens,step,steps,target,total_cost_usd,total_latency_ms,waited_ms,workload
143824.906,wf-validation-0141,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016250000000000001,4083.78686792645,,validation
143824.911,wf-validation-0144,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-144,,,,,,,,,,,,,,,,,,
143824.911,wf-validation-0144,agent-1,LLM_DISPATCH,148356.51078751325,,0.0016150000000000001,GENERATE_TEXT,,4531.60000155589,,,,0.0,0.0,149,,,,,,,,,,,,,
143994.214,wf-validation-0140,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,151,,,,,,,,,,,,,
143994.214,wf-validation-0145,agent-1,QUEUE_EXIT,,,,,,,,,,,,,,0,,,,,,,,,,727.8353214644885,
143994.214,wf-validation-0145,agent-1,AGENT_RECEIVE,,,,,,,,,50,,,,,,,,,50,1,,,,,,
143994.214,wf-validation-0145,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016150000000000001,GENERATE_TEXT,,,agent-1-infra-145,0.005208333333333333,,,,149,,,,0.0,,,,,,,,,
143994.214,wf-validation-0140,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016375,5776.769585553877,,validation
143994.219,wf-validation-0145,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-145,,,,,,,,,,,,,,,,,,
143994.219,wf-validation-0145,agent-1,LLM_DISPATCH,147438.203409121,,0.0016150000000000001,GENERATE_TEXT,,3443.984680448414,,,,0.0,0.0,149,,,,,,,,,,,,,
144438.922,wf-validation-0142,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,151,,,,,,,,,,,,,
144438.922,wf-validation-0142,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016350000000000002,4686.637988779141,,validation
144442.329,wf-validation-0139,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,149,,,,,,,,,,,,,
144442.329,wf-validation-0139,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016150000000000001,6876.01459244726,,validation
145722.871,wf-validation-0146,agent-1,AGENT_RECEIVE,,,,,,,,,51,,,,,,,,,51,1,,,,,,
145722.871,wf-validation-0146,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016275,GENERATE_TEXT,,,agent-1-infra-146,0.005208333333333333,,,,150,,,,0.0,,,,,,,,,
145722.876,wf-validation-0146,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-146,,,,,,,,,,,,,,,,,,
145722.876,wf-validation-0146,agent-1,LLM_DISPATCH,149951.6198282399,,0.0016275,GENERATE_TEXT,,4228.744108466459,,,,0.0,0.0,150,,,,,,,,,,,,,
145864.566,wf-validation-0147,agent-1,AGENT_RECEIVE,,,,,,,,,50,,,,,,,,,50,1,,,,,,
145864.566,wf-validation-0147,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016150000000000001,GENERATE_TEXT,,,agent-1-infra-147,0.005208333333333333,,,,149,,,,0.0,,,,,,,,,
145864.571,wf-validation-0147,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-147,,,,,,,,,,,,,,,,,,
145864.571,wf-validation-0147,agent-1,LLM_DISPATCH,150684.60548471977,,0.0016150000000000001,GENERATE_TEXT,,4820.03469533177,,,,0.0,0.0,149,,,,,,,,,,,,,
146559.960,wf-validation-0143,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,150,,,,,,,,,,,,,
146559.960,wf-validation-0143,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016225,6654.551834468381,,validation
147081.010,wf-validation-0148,agent-1,AGENT_RECEIVE,,,,,,,,,49,,,,,,,,,49,1,,,,,,
147081.010,wf-validation-0148,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016325,GENERATE_TEXT,,,agent-1-infra-148,0.005208333333333333,,,,151,,,,0.0,,,,,,,,,
147081.015,wf-validation-0148,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-148,,,,,,,,,,,,,,,,,,
147081.015,wf-validation-0148,agent-1,LLM_DISPATCH,151287.2069024739,,0.0016325,GENERATE_TEXT,,4206.191502811129,,,,0.0,0.0,151,,,,,,,,,,,,,
147365.301,wf-validation-0149,agent-1,QUEUE_ENTER,,,,,,,,,,,,,,,1,,,,,,,,,,
147387.012,wf-validation-0150,agent-1,QUEUE_ENTER,,,,,,,,,,,,,,,2,,,,,,,,,,
147438.203,wf-validation-0145,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,149,,,,,,,,,,,,,
147438.203,wf-validation-0149,agent-1,QUEUE_EXIT,,,,,,,,,,,,,,1,,,,,,,,,,72.90282159057097,
