time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,errored,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_wait_ms,reason,response_tokens,session_tokens,step,steps,target,tool,tool_ms,total_cost_usd,total_latency_ms,workload
26177.535,wf-chat-light-0013,agent-shared,TOOL_DISPATCH,26293.438051257235,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,115.9026931038686,,,
26293.438,wf-chat-light-0013,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,344,2,,,,,,,
26293.438,wf-chat-light-0013,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.00228,GENERATE_TEXT,,,,agent-shared-infra-53,1.0416666666666667,,,,142,,0.0,,,,,,,,,,,
26293.438,wf-chat-light-0013,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
26294.480,wf-chat-light-0013,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-53,,,,,,,,,,,,,,,,,,
26294.480,wf-chat-light-0013,agent-shared,LLM_DISPATCH,30216.596029040054,,0.00228,GENERATE_TEXT,,,3922.1163111161495,,,,0.0,0.0,142,,,,,,,,,,,,,
26790.243,wf-tool-heavy-0055,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,175,,,,,,,,search-tool,,,,,
26790.243,wf-tool-heavy-0055,agent-shared,TOOL_DISPATCH,26914.680595071946,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,124.43769278607625,,,
26841.339,wf-chat-light-0015,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,151,,,,,,,,search-tool,,,,,
26841.339,wf-chat-light-0015,agent-shared,TOOL_DISPATCH,27018.122316531553,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,176.78299419645344,,,
26914.681,wf-tool-heavy-0055,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,591,2,,,,,,,
26914.681,wf-tool-heavy-0055,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0029975,GENERATE_TEXT,,,,agent-shared-infra-54,1.0416666666666667,,,,152,,0.0,,,,,,,,,,,
26914.681,wf-tool-heavy-0055,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
26915.722,wf-tool-heavy-0055,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-54,,,,,,,,,,,,,,,,,,
26915.722,wf-tool-heavy-0055,agent-shared,LLM_DISPATCH,31975.81891122838,,0.0029975,GENERATE_TEXT,,,5060.096649489765,,,,0.0,0.0,152,,,,,,,,,,,,,
27018.122,wf-chat-light-0015,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,347,2,,,,,,,
27018.122,wf-chat-light-0015,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.0030575000000000003,CALL_TOOL,,,,agent-shared-infra-55,1.0416666666666667,,,,219,,0.0,,,,,,,,,,,
27018.122,wf-chat-light-0015,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
27019.164,wf-chat-light-0015,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-55,,,,,,,,,,,,,,,,,,
27019.164,wf-chat-light-0015,agent-shared,LLM_DISPATCH,32241.92880209633,,0.0030575000000000003,CALL_TOOL,,,5222.764818898107,,,,0.0,0.0,219,,,,,,,,,,,,,
27350.405,wf-chat-light-0008,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,81,,,,,,,,search-tool,,,,,
27350.405,wf-chat-light-0008,agent-shared,TOOL_DISPATCH,27508.39095770769,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,157.9856427381901,,,
27425.101,wf-chat-light-0005,agent-shared,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,,153,,,,,,,,,,,,,
27425.101,wf-chat-light-0005,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,SUCCESS,,,,5,,,,0.017865000000000002,24472.330337250172,chat-light
27508.391,wf-chat-light-0008,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,1237,5,,,,,,,
27508.391,wf-chat-light-0008,agent-shared,INFRA_SUBMIT,,1.0416666666666667,0.004602500000000001,CALL_TOOL,,,,agent-shared-infra-56,1.0416666666666667,,,,151,,0.0,,,,,,,,,,,
27508.391,wf-chat-light-0008,agent-shared,TOOL_RETURN,,,,,,,,,,,,,,,,,300,,,,,,,,,
27509.433,wf-chat-light-0008,agent-shared,INFRA_COMPLETE,,,,,,,,agent-shared-infra-56,,,,,,,,,,,,,,,,,,
27509.433,wf-chat-light-0008,agent-shared,LLM_DISPATCH,30584.034709877393,,0.004602500000000001,CALL_TOOL,,,3074.6020855030356,,,,0.0,0.0,151,,,,,,,,,,,,,
27980.531,wf-tool-heavy-0054,agent-shared,LLM_COMPLETE,,,,CALL_TOOL,,,,,,,,,78,,,,,,,,search-tool,,,,,
27980.531,wf-tool-heavy-0054,agent-shared,TOOL_DISPATCH,28221.59118991839,,,,,false,,,,,0.0,0.0,,,,,,,,,,search-tool,241.0606306147488,,,
28221.591,wf-tool-heavy-0054,agent-shared,AGENT_RECEIVE,,,,,,,,,,300,,,,,,,,740,3,,,,,,,
