time_ms,workflow_id,entity_id,event_type,completes_at,compute_ms,cost_usd,decision,entry_agent,inference_ms,infra_job_id,infra_latency_ms,input_tokens,network_back_ms,network_out_ms,output_tokens,prompt_tokens,queue_remaining,queue_size,queue_wait_ms,reason,session_tokens,step,steps,target,total_cost_usd,total_latency_ms,waited_ms,workload
480616.742,wf-validation-0130,agent-1,LLM_DISPATCH,484923.1587010808,,0.0016250000000000001,GENERATE_TEXT,,4306.417115187219,,,,0.0,0.0,150,,,,,,,,,,,,,
482489.880,wf-validation-0131,agent-1,AGENT_RECEIVE,,,,,,,,,49,,,,,,,,,49,1,,,,,,
482489.880,wf-validation-0131,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016225,GENERATE_TEXT,,,agent-1-infra-131,0.005208333333333333,,,,150,,,,0.0,,,,,,,,,
482489.886,wf-validation-0131,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-131,,,,,,,,,,,,,,,,,,
482489.886,wf-validation-0131,agent-1,LLM_DISPATCH,486369.7124601919,,0.0016225,GENERATE_TEXT,,3879.8268274875186,,,,0.0,0.0,150,,,,,,,,,,,,,
482731.733,wf-validation-0132,agent-1,AGENT_RECEIVE,,,,,,,,,50,,,,,,,,,50,1,,,,,,
482731.733,wf-validation-0132,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016150000000000001,GENERATE_TEXT,,,agent-1-infra-132,0.005208333333333333,,,,149,,,,0.0,,,,,,,,,
482731.739,wf-validation-0132,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-132,,,,,,,,,,,,,,,,,,
482731.739,wf-validation-0132,agent-1,LLM_DISPATCH,486707.409853435,,0.0016150000000000001,GENERATE_TEXT,,3975.6712271874267,,,,0.0,0.0,149,,,,,,,,,,,,,
483084.681,wf-validation-0133,agent-1,AGENT_RECEIVE,,,,,,,,,52,,,,,,,,,52,1,,,,,,
483084.681,wf-validation-0133,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016200000000000003,GENERATE_TEXT,,,agent-1-infra-133,0.005208333333333333,,,,149,,,,0.0,,,,,,,,,
483084.686,wf-validation-0133,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-133,,,,,,,,,,,,,,,,,,
483084.686,wf-validation-0133,agent-1,LLM_DISPATCH,487419.166117919,,0.0016200000000000003,GENERATE_TEXT,,4334.479875340542,,,,0.0,0.0,149,,,,,,,,,,,,,
483363.642,wf-validation-0134,agent-1,QUEUE_ENTER,,,,,,,,,,,,,,,1,,,,,,,,,,
484462.422,wf-validation-0129,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,150,,,,,,,,,,,,,
484462.422,wf-validation-0134,agent-1,QUEUE_EXIT,,,,,,,,,,,,,,0,,,,,,,,,,1098.7799329737318,
484462.422,wf-validation-0134,agent-1,AGENT_RECEIVE,,,,,,,,,52,,,,,,,,,52,1,,,,,,
484462.422,wf-validation-0134,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.00163,GENERATE_TEXT,,,agent-1-infra-134,0.005208333333333333,,,,150,,,,0.0,,,,,,,,,
484462.422,wf-validation-0129,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016250000000000001,4477.623520572728,,validation
484462.427,wf-validation-0134,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-134,,,,,,,,,,,,,,,,,,
484462.427,wf-validation-0134,agent-1,LLM_DISPATCH,489013.0682552849,,0.00163,GENERATE_TEXT,,4550.640870132331,,,,0.0,0.0,150,,,,,,,,,,,,,
484923.159,wf-validation-0130,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,150,,,,,,,,,,,,,
484923.159,wf-validation-0130,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016250000000000001,4306.422323520528,,validation
485161.531,wf-validation-0135,agent-1,AGENT_RECEIVE,,,,,,,,,50,,,,,,,,,50,1,,,,,,
485161.531,wf-validation-0135,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016350000000000002,GENERATE_TEXT,,,agent-1-infra-135,0.005208333333333333,,,,151,,,,0.0,,,,,,,,,
485161.537,wf-validation-0135,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-135,,,,,,,,,,,,,,,,,,
485161.537,wf-validation-0135,agent-1,LLM_DISPATCH,489495.28779949615,,0.0016350000000000002,GENERATE_TEXT,,4333.751263661473,,,,0.0,0.0,151,,,,,,,,,,,,,
486369.712,wf-validation-0131,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,150,,,,,,,,,,,,,
486369.712,wf-validation-0131,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016225,3879.832035820815,,validation
486707.410,wf-validation-0132,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,149,,,,,,,,,,,,,
486707.410,wf-validation-0132,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016150000000000001,3975.676435520756,,validation
487419.166,wf-validation-0133,agent-1,LLM_COMPLETE,,,,GENERATE_TEXT,,,,,,,,149,,,,,,,,,,,,,
487419.166,wf-validation-0133,ORCHESTRATOR,COMPLETE,,,,,,,,,,,,,,,,,SUCCESS,,,1,,0.0016200000000000003,4334.485083673848,,validation
488307.380,wf-validation-0136,agent-1,AGENT_RECEIVE,,,,,,,,,49,,,,,,,,,49,1,,,,,,
488307.380,wf-validation-0136,agent-1,INFRA_SUBMIT,,0.005208333333333333,0.0016225,GENERATE_TEXT,,,agent-1-infra-136,0.005208333333333333,,,,150,,,,0.0,,,,,,,,,
488307.385,wf-validation-0136,agent-1,INFRA_COMPLETE,,,,,,,agent-1-infra-136,,,,,,,,,,,,,,,,,,
